Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_697.jpg;0;0;1;0;99.66999;85.589;0.0002316529;286.8638;-1.337096E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_741.jpg;0;0;0;0;99.66999;85.589;0.0002313166;286.8638;-6.938734E-07
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_791.jpg;0;0;0;0;99.66999;85.589;0.0002310313;286.8638;2.924522E-07
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_841.jpg;0;0;0;0;99.66999;85.589;0.0002309141;286.8638;9.571602E-07
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_890.jpg;0;0;0;0;99.66999;85.589;0.0002307304;286.8638;1.901439E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_941.jpg;0;0;0;0;99.66999;85.589;0.0002311449;286.8638;2.514291E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_07_991.jpg;0;0;0;0;99.66999;85.589;0.0002310511;286.8638;3.337352E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_08_041.jpg;0;0;0;0;99.66999;85.589;0.0002311215;286.8638;3.812409E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_08_090.jpg;0;0;0;0;99.66999;85.589;0.0002312193;286.8638;4.472211E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_08_140.jpg;0;0;0;0;99.66999;85.589;0.0002312741;286.8638;4.841699E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_08_190.jpg;0;0;0;0;99.66999;85.589;0.0002313484;286.8638;5.343149E-06
/Users/troy/Projects/RoboticsUdacity/Rover/RoboND-Rover-Project/writeup/IMG/robocam_2017_08_31_00_08_08_241.jpg;0;0;0;0;99.66999;85.589;0.0002315987;286.8638;5.575765E-06
